Bx(GPa)	By(GPa)
62593.091113	83063.838099
173624.078828	222228.688623
-244311.567241	-301699.662104
-73517.489741	-87614.733215
-43886.971929	-50486.186398
-31585.288323	-35079.016775
-24850.700751	-26649.114120
-20601.948924	-21333.942804
-17677.666690	-17677.666832
-15542.570059	-15009.285559
-13915.660149	-12976.563128
-12635.267608	-11376.846148
-11601.786835	-10085.279514
-10750.496885	-9020.738046
-10037.518461	-8128.222251
-9432.064812	-7369.136729
-8911.879588	-6715.583016
-8460.479601	-6146.898291
-8065.406723	-5647.458637
-7717.061885	-5205.224014
-7407.927101	-4810.764153
-7132.039531	-4456.592961
-6884.608210	-4136.689991
-6661.733841	-3846.153864
-6460.218860	-3580.957825
-6277.412234	-3337.759326
-6111.099553	-3113.760780
-5959.419416	-2906.603090
-5820.793167	-2714.280461
-5693.876574	-2535.077211
-5577.515057	-2367.514708
-5470.719127	-2210.314029
-5372.628020	-2062.358698
-5282.495524	-1922.671160
-5199.672286	-1790.390774
-5123.590149	-1664.755380
-5053.750060	-1545.086475
-4989.713931	-1430.777470
-4931.096738	-1321.283413
-4877.559911	-1216.112295
-4828.803007	-1114.817039
-4784.564129	-1016.990523
-4744.610729	-922.258923
-4708.739514	-830.277844
-4676.772305	-740.727986
-4648.553739	-653.311645
-4623.951511	-567.749878
-4602.849345	-483.778982
-4585.151023	-401.148757
-4570.776715	-319.619866
-4559.662084	-238.961786
-4551.757874	-158.950909
-4547.028769	-79.368704
-4545.454811	-0.000022
-4547.028770	79.368660
-4551.757876	158.950865
-4559.662086	238.961742
-4570.776718	319.619822
-4585.151027	401.148713
-4602.849349	483.778938
-4623.951516	567.749833
-4648.553745	653.311600
-4676.771990	740.727890
-4708.739522	830.277799
-4744.610738	922.258877
-4784.564139	1016.990477
-4828.803017	1114.816992
-4877.559922	1216.112248
-4931.096751	1321.283365
-4989.713945	1430.777422
-5053.750074	1545.086426
-5123.590165	1664.755331
-5199.672303	1790.390724
-5282.495542	1922.671109
-5372.628040	2062.358646
-5470.718678	2210.313787
-5577.515080	2367.514654
-5693.876082	2535.076927
-5820.793193	2714.280405
-5959.419444	2906.603033
-6111.099583	3113.760721
-6277.412267	3337.759266
-6460.218895	3580.957763
-6661.733878	3846.153800
-6884.608250	4136.689924
-7132.039573	4456.592893
-7407.926195	4810.763464
-7717.059845	5205.222530
-8065.406778	5647.458559
-8460.479660	6146.898210
-8911.879653	6715.582930
-9432.064062	7369.135996
-10037.518539	8128.222154
-10750.494776	9020.736101
-11601.781742	10085.274890
-12635.264591	11376.843211
-13915.660274	12976.562994
-15542.565317	15009.280690
-17677.666860	17677.666661
-20601.949129	21333.942606
-24850.701007	26649.113880
-31585.288661	35079.016471
-43886.972416	50486.185975
-73517.490585	87614.732507
-244311.570147	301699.659752
173624.080968	-222228.686952
62593.091913	-83063.837497
37622.927996	-51783.517260
26599.268208	-37987.691403
20386.788001	-30224.655785
16398.570349	-25251.583614
13620.222090	-21796.911420
11572.620598	-19260.074763
9999.999627	-17320.507194
8753.372096	-15791.501060
7740.066750	-14556.948173
6899.410715	-13540.855751
6190.015573	-12691.412516
5582.673549	-11972.081874
5056.178128	-11356.361828
4594.755105	-10824.564505
4186.429502	-10361.776444
3821.936845	-9956.485702
3493.994989	-9599.672155
3196.798869	-9284.177867
2925.658235	-9004.249997
2676.740773	-8755.224374
2446.876515	-8533.272305
2233.421166	-8335.241061
2034.144102	-8158.506166
1847.147871	-8000.876213
1670.803025	-7860.509977
1503.699042	-7735.860686
1344.602039	-7625.616823
1192.425228	-7528.676284
1046.201132	-7444.107522
905.060772	-7371.128084
768.215616	-7309.082904
634.943286	-7257.434435
504.574023	-7215.744046
376.479969	-7183.664868
250.065360	-7160.933672
124.757799	-7147.366912
0.000046	-7142.856952
